r_xy_mm,phi_deg,z_mm,spiral,order_idx
101,20.5,180,forward,767
91,12.0,186,reverse,768
64,7.7,183,forward,769
53,12.4,194,reverse,770
10,0.0,183,forward,771
17,-0.0,184,reverse,772
83,4.7,185,reverse,773
81,-4.7,196,forward,774
51,-12.4,184,forward,775
66,-7.7,180,reverse,776
100,-12.0,185,forward,777
102,-20.5,181,reverse,778
96,-17.1,200,forward,779
91,-15.3,179,reverse,780
43,-20.1,202,reverse,781
71,-24.8,202,forward,782
77,-27.7,195,reverse,783
100,-35.4,182,reverse,784
94,-32.0,177,forward,785
87,-37.2,189,forward,786
33,-32.5,184,forward,787
58,-40.1,181,reverse,788
60,-44.9,188,forward,789
100,-44.4,195,forward,790
101,-40.6,189,reverse,791
86,-47.8,190,reverse,792
29,-52.5,191,reverse,793
78,-57.3,198,forward,794
104,-53.0,177,reverse,795
108,-64.5,182,forward,796
70,-60.2,193,reverse,797
45,-64.9,191,forward,798
49,-72.6,185,reverse,799
93,-69.7,183,forward,800
95,-67.9,181,reverse,801
108,-73.0,184,reverse,802
80,-80.3,190,reverse,803
67,-77.3,187,forward,804
22,-85.0,200,forward,805
84,-89.7,192,forward,806
109,-97.0,187,forward,807
63,-92.7,188,reverse,808
55,-97.4,201,forward,809
89,-100.3,181,reverse,810
98,-102.1,178,forward,811
104,-105.5,179,reverse,812
74,-109.8,181,forward,813
38,-105.1,191,reverse,814
38,-117.4,195,forward,815
74,-112.7,202,reverse,816
105,-117.0,179,forward,817
103,-125.5,187,reverse,818
98,-120.4,199,reverse,819
89,-122.2,196,forward,820
55,-125.1,183,reverse,821
63,-129.8,184,forward,822
84,-132.8,196,reverse,823
80,-142.2,181,forward,824
22,-137.5,201,reverse,825
49,-149.9,188,forward,826
67,-145.2,190,reverse,827
108,-149.5,184,forward,828
95,-154.6,200,forward,829
93,-152.8,178,reverse,830
45,-157.6,198,reverse,831
70,-162.3,180,forward,832
102,-158.0,182,reverse,833
102,-169.5,177,forward,834
78,-165.2,192,reverse,835
29,-170.0,182,forward,836
86,-174.7,179,forward,837
86,-174.7,-188,forward,838
78,-165.2,-178,reverse,839
103,-170.0,-186,forward,840
106,-157.6,-180,reverse,841
70,-162.3,-200,forward,842
45,-157.6,-201,reverse,843
93,-152.8,-201,reverse,844
95,-154.6,-180,forward,845
100,-149.9,-178,forward,846
67,-145.2,-199,reverse,847
49,-149.9,-187,forward,848
80,-142.2,-195,forward,849
93,-137.5,-188,reverse,850
84,-132.8,-187,reverse,851
63,-129.8,-201,forward,852
55,-125.1,-180,reverse,853
88,-125.1,-176,reverse,854
89,-122.2,-181,forward,855
98,-120.4,-183,reverse,856
105,-117.4,-183,forward,857
74,-112.7,-190,reverse,858
38,-117.4,-186,forward,859
38,-105.1,-198,reverse,860
74,-109.8,-181,forward,861
96,-105.1,-183,reverse,862
98,-102.1,-195,forward,863
89,-100.3,-190,reverse,864
55,-97.4,-179,forward,865
63,-92.7,-195,reverse,866
110,-97.4,-176,forward,867
90,-85.0,-188,forward,868
84,-89.7,-195,forward,869
67,-77.3,-180,forward,870
80,-80.3,-201,reverse,871
105,-72.6,-178,reverse,872
95,-67.9,-197,reverse,873
93,-69.7,-189,forward,874
49,-72.6,-192,reverse,875
45,-64.9,-200,forward,876
70,-60.2,-186,reverse,877
88,-64.9,-180,forward,878
78,-57.3,-194,forward,879
86,-47.8,-182,reverse,880
112,-52.5,-186,reverse,881
60,-44.9,-197,forward,882
58,-40.1,-193,reverse,883
87,-37.2,-187,forward,884
100,-35.4,-201,reverse,885
111,-32.5,-185,forward,886
77,-27.7,-195,reverse,887
71,-24.8,-184,forward,888
43,-20.1,-180,reverse,889
91,-15.3,-184,reverse,890
96,-17.1,-188,forward,891
110,-20.1,-181,reverse,892
102,-12.4,-177,forward,893
66,-7.7,-200,reverse,894
51,-12.4,-201,forward,895
81,-4.7,-190,forward,896
100,0.0,-178,forward,897
97,-0.0,-189,reverse,898
83,4.7,-179,reverse,899
53,12.4,-182,reverse,900
64,7.7,-179,forward,901
101,12.4,-177,reverse,902
97,17.1,-187,reverse,903
92,20.1,-182,forward,904
90,15.3,-182,forward,905
40,20.1,-181,forward,906
73,24.8,-194,reverse,907
75,27.7,-201,forward,908
102,32.5,-184,reverse,909
99,35.4,-186,forward,910
88,37.2,-198,reverse,911
35,32.5,-193,reverse,912
56,40.1,-186,forward,913
61,44.9,-184,reverse,914
85,47.8,-179,forward,915
79,57.3,-200,reverse,916
100,52.5,-187,forward,917
